id;start_date;end_date;language
1;2020-06-11T19:14:41;2020-06-11T17:04:56;SPANISH
2;2020-06-11T00:04:52;2020-06-11T19:09:17;SPANISH
3;2020-06-11T15:00:11;2020-06-11T01:34:20;FRENCH
4;2020-06-11T06:17:42;2020-06-11T17:49:08;FRENCH
5;2020-06-11T15:48:00;2020-06-11T20:34:59;FRENCH
6;2020-06-11T09:40:21;2020-06-11T21:48:35;FRENCH
7;2020-06-11T11:25:41;2020-06-11T05:16:32;FRENCH
8;2020-06-11T10:21:54;2020-06-11T20:38:02;SPANISH
9;2020-06-11T09:03:03;2020-06-11T05:44:26;SPANISH
10;2020-06-11T17:15:07;2020-06-11T03:49:37;SPANISH
